trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.95}",20,0,-136.64866978300694,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.8999999999999999}",25,0,-140.62394439217067,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.8499999999999999}",20,5,-63.66770650386436,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 1}",1
4,False,"{'a': 0.01, 'e': 0.7999999999999998}",20,0,-213.63336631344686,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
5,False,"{'a': 0.01, 'e': 0.7499999999999998}",20,0,-41.963940829105866,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.6999999999999997}",20,0,-178.20348099329425,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
7,False,"{'a': 0.01, 'e': 0.6499999999999997}",20,11,-60.58663597803925,"{0: 4, 1: 1, 2: 2, 3: 2, 4: 0}",1
8,False,"{'a': 0.01, 'e': 0.5999999999999996}",25,0,-118.64926883480372,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.5499999999999996}",25,0,-113.85891937136098,"{0: 15, 1: 2, 2: 4, 3: 4, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.4999999999999996}",25,14,-2.4365011459337085,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.01, 'e': 0.4499999999999996}",35,0,-168.2321669413387,"{0: 24, 1: 4, 2: 2, 3: 2, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.39999999999999963}",20,0,-58.22074110084705,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.34999999999999964}",25,3,-4.152580577197767,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.01, 'e': 0.29999999999999966}",25,0,-107.86245192072394,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.24999999999999967}",25,0,-82.90166395484884,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.19999999999999968}",25,11,-45.117066718224955,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.01, 'e': 0.1499999999999997}",20,0,25.329529754054768,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.09999999999999969}",20,0,-61.11231899237702,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.049999999999999684}",20,4,-1.6074935283651177,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.01, 'e': -3.191891195797325e-16}",20,0,-34.42319818171091,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-24.37751113935167,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-68.15003743376722,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-112.42505607177078,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-21.99600021975851,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-18.85609818075839,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,9.684526646757035,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-56.085660076100254,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,13,5.950942353117515,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-19.252915458594735,"{0: 21, 1: 2, 2: 0, 3: 2, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-42.57942058166597,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
