trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9048374180359595}",25,0,-112.35593458591235,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.8187307530779818}",20,0,-142.0461052110788,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.1, 'e': 0.7408182206817179}",25,0,-117.86069931399622,"{0: 16, 1: 3, 2: 2, 3: 3, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.6703200460356393}",20,0,-45.543519379326774,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.6065306597126334}",20,0,-49.172733488351675,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
6,False,"{'a': 0.1, 'e': 0.5488116360940264}",20,0,-70.93445453471786,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
7,False,"{'a': 0.1, 'e': 0.49658530379140947}",25,0,-24.811068684209832,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.1, 'e': 0.44932896411722156}",30,0,-29.127294041740118,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.4065696597405991}",20,0,-37.308948394819296,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.1, 'e': 0.36787944117144233}",25,0,-90.55176637393765,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.33287108369807955}",30,0,-44.897116795610664,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.301194211912202}",20,0,-7.732526745618035,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.2725317930340126}",25,0,-44.65398186858185,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.24659696394160643}",20,0,1.276008590647332,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.22313016014842982}",20,2,1.0035363093785659,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.1, 'e': 0.20189651799465538}",25,0,-58.23499109760552,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.1, 'e': 0.1826835240527346}",20,0,28.208166040904494,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.1, 'e': 0.16529888822158653}",20,9,-40.64051761656376,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.1, 'e': 0.14956861922263504}",25,0,26.797195496205337,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.1, 'e': 0.1353352832366127}",20,9,11.349439469055268,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.1, 'e': 0.1224564282529819}",20,0,-89.73355454134503,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
22,False,"{'a': 0.1, 'e': 0.11080315836233387}",20,7,15.490805700236159,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
