trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 0.995}",20,0,-196.75529098859747,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 4}",0
2,False,"{'a': 0.002, 'e': 0.99}",25,0,-9.294267600255186,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
3,False,"{'a': 0.002, 'e': 0.985}",30,0,-121.97907965549258,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.002, 'e': 0.98}",20,0,-79.43989026779286,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.002, 'e': 0.975}",25,0,-157.6875119478178,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.002, 'e': 0.97}",20,0,-16.444415218037793,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.002, 'e': 0.965}",20,12,-68.41032449106577,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
8,False,"{'a': 0.002, 'e': 0.96}",20,0,-209.48910441226528,"{0: 8, 1: 3, 2: 4, 3: 2, 4: 3}",0
9,False,"{'a': 0.002, 'e': 0.955}",25,0,-79.5896674260582,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.002, 'e': 0.95}",20,0,-137.81337402568786,"{0: 6, 1: 6, 2: 5, 3: 3, 4: 0}",0
11,False,"{'a': 0.002, 'e': 0.945}",20,0,-66.47760123057249,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
12,False,"{'a': 0.002, 'e': 0.94}",20,0,-134.82869902202245,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.002, 'e': 0.9349999999999999}",20,0,-100.46744769451087,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9299999999999999}",25,0,-93.69683585749499,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.002, 'e': 0.9249999999999999}",25,0,-167.76467099962431,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
16,False,"{'a': 0.002, 'e': 0.9199999999999999}",20,0,-107.05873314013283,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.002, 'e': 0.9149999999999999}",25,0,-208.28916764603986,"{0: 11, 1: 2, 2: 9, 3: 0, 4: 3}",0
18,False,"{'a': 0.002, 'e': 0.9099999999999999}",30,0,-134.21178699888137,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
19,False,"{'a': 0.002, 'e': 0.9049999999999999}",25,0,-207.9025845768931,"{0: 12, 1: 2, 2: 5, 3: 4, 4: 2}",0
20,False,"{'a': 0.002, 'e': 0.8999999999999999}",25,0,-132.53676947530926,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",30,0,-191.39586826069723,"{0: 14, 1: 5, 2: 8, 3: 1, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",35,0,-180.3781527970959,"{0: 21, 1: 2, 2: 9, 3: 1, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-41.23875779639652,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-79.83565701523342,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-217.49816081452724,"{0: 7, 1: 2, 2: 5, 3: 4, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-140.2568956426346,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-97.66250335055393,"{0: 12, 1: 5, 2: 7, 3: 1, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",35,0,-96.13462813659127,"{0: 26, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,0,-222.89922059322186,"{0: 17, 1: 1, 2: 7, 3: 2, 4: 3}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-118.4539150817266,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
